Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc	Salmon_mqc-generalstats-percent_mapped	Salmon_mqc-generalstats-num_mapped
SRR28420795_1	27.2727272727	147.31751386	60.1252626958	16232567.0	49.0		
SRR28420795_2	18.1818181818	147.303369578	52.700441462	16232567.0	50.0		
SRR28420796_1	27.2727272727	147.303498593	60.0536693626	15989056.0	49.0		
SRR28420796_2	18.1818181818	147.289147652	53.1151016406	15989056.0	50.0		
SRR28420797_1	27.2727272727	147.288706604	62.5201337618	17073430.0	49.0		
SRR28420797_2	18.1818181818	147.271704397	55.9934348766	17073430.0	51.0		
SRR28420798_1	27.2727272727	147.183950221	62.4681353855	17813678.0	49.0		
SRR28420798_2	18.1818181818	147.166387986	55.8948740363	17813678.0	51.0		
multiqc_report.html5						91.9686883304	16383006
multiqc_report.html6						87.2572711389	14164095
multiqc_report.html7						91.8415046069	15680495
multiqc_report.html8						88.3995778112	14134258
