RetainedRef	DuplicateRef
ENST00000707475.1	ENST00000681092.1
ENST00000448335.2	ENST00000395134.3
ENST00000639329.1	ENST00000570600.5
ENST00000640588.2	ENST00000639550.2
ENST00000640588.2	ENST00000299853.10
ENST00000708404.1	ENST00000524813.2
ENST00000673611.1	ENST00000474890.1
ENST00000643542.1	ENST00000560798.5
ENST00000672108.1	ENST00000571932.2
ENST00000638355.1	ENST00000578174.5
ENST00000710171.1	ENST00000703992.1
ENST00000417059.5	ENST00000374572.7
ENST00000616072.2	ENST00000625626.1
ENST00000708207.1	ENST00000538076.5
ENST00000396818.2	ENST00000440069.1
ENST00000396818.2	ENST00000593989.1
ENST00000396818.2	ENST00000608758.1
ENST00000396818.2	ENST00000609856.1
ENST00000426406.4	ENST00000332831.5
ENST00000634048.1	ENST00000575038.5
ENST00000616705.1	ENST00000629858.1
ENST00000616705.1	ENST00000630789.1
ENST00000673407.1	ENST00000509573.5
ENST00000266987.7	ENST00000710362.1
ENST00000708761.1	ENST00000555008.5
ENST00000447071.5	ENST00000626011.2
ENST00000635198.1	ENST00000437606.6
ENST00000477523.1	ENST00000463822.1
ENST00000487616.1	ENST00000471458.1
ENST00000487616.1	ENST00000463977.1
ENST00000487616.1	ENST00000480999.1
ENST00000445527.1	ENST00000445972.1
ENST00000643411.1	ENST00000466422.2
ENST00000495614.1	ENST00000464623.1
ENST00000673367.1	ENST00000560565.1
ENST00000618465.4	ENST00000433772.6
ENST00000465854.5	ENST00000472840.5
ENST00000465854.5	ENST00000491058.5
ENST00000465854.5	ENST00000460187.5
ENST00000465854.5	ENST00000460555.5
ENST00000647033.1	ENST00000558193.5
ENST00000571844.5	ENST00000462151.5
ENST00000428070.1	ENST00000439968.1
ENST00000490503.5	ENST00000459733.1
ENST00000490503.5	ENST00000488847.1
ENST00000490503.5	ENST00000484911.1
ENST00000490503.5	ENST00000497839.1
ENST00000490503.5	ENST00000465594.1
ENST00000490503.5	ENST00000477678.1
ENST00000458614.5	ENST00000447674.1
ENST00000458614.5	ENST00000416804.1
ENST00000709713.1	ENST00000341900.6
ENST00000417610.2	ENST00000411608.6
ENST00000417610.2	ENST00000425998.6
ENST00000417610.2	ENST00000440063.6
ENST00000417610.2	ENST00000437153.6
ENST00000708728.1	ENST00000556592.1
ENST00000638391.2	ENST00000638803.2
ENST00000634042.1	ENST00000573780.5
ENST00000615515.1	ENST00000619624.1
ENST00000482663.1	ENST00000574160.1
ENST00000642176.1	ENST00000540974.1
ENST00000711578.1	ENST00000711579.1
ENST00000711578.1	ENST00000711577.1
ENST00000709857.1	ENST00000490744.1
ENST00000707745.1	ENST00000454516.7
ENST00000672777.1	ENST00000673104.1
ENST00000672777.1	ENST00000672363.1
ENST00000672777.1	ENST00000672961.1
ENST00000634682.1	ENST00000589528.1
ENST00000459844.1	ENST00000468203.1
ENST00000459844.1	ENST00000460751.1
ENST00000459844.1	ENST00000471441.1
ENST00000459844.1	ENST00000482649.1
ENST00000635307.1	ENST00000506576.1
ENST00000572611.1	ENST00000497406.2
ENST00000486222.1	ENST00000460361.1
ENST00000486222.1	ENST00000474514.1
ENST00000486222.1	ENST00000478834.1
ENST00000486222.1	ENST00000468378.1
ENST00000640913.1	ENST00000617666.4
ENST00000709159.1	ENST00000588823.1
ENST00000631953.1	ENST00000618053.1
ENST00000639630.1	ENST00000399124.6
ENST00000634012.1	ENST00000636290.1
ENST00000624841.1	ENST00000598026.1
ENST00000449037.5	ENST00000453588.5
ENST00000449037.5	ENST00000383275.6
ENST00000449037.5	ENST00000432831.5
ENST00000644086.1	ENST00000554577.5
ENST00000632298.1	ENST00000614416.4
ENST00000632119.1	ENST00000636064.1
ENST00000632119.1	ENST00000448180.1
ENST00000642366.1	ENST00000604114.1
ENST00000616190.2	ENST00000572528.1
ENST00000616190.2	ENST00000390674.2
ENST00000709548.1	ENST00000489703.2
ENST00000604790.2	ENST00000604395.5
ENST00000631448.1	ENST00000523155.1
ENST00000644468.1	ENST00000479476.1
ENST00000672650.1	ENST00000573807.5
ENST00000647177.1	ENST00000529499.1
ENST00000634226.1	ENST00000467817.1
ENST00000625437.1	ENST00000614648.1
ENST00000625245.2	ENST00000628696.2
ENST00000631789.1	ENST00000573203.5
ENST00000708770.1	ENST00000363355.1
ENST00000570491.5	ENST00000467918.5
ENST00000626389.3	ENST00000347077.9
ENST00000322110.8	ENST00000641672.1
ENST00000627946.2	ENST00000416721.6
ENST00000630265.2	ENST00000612168.4
ENST00000645231.2	ENST00000253063.4
ENST00000644601.1	ENST00000558638.5
ENST00000628303.1	ENST00000228862.3
ENST00000602732.5	ENST00000602680.1
ENST00000602732.5	ENST00000602770.5
ENST00000673552.1	ENST00000545663.5
ENST00000423657.1	ENST00000415908.1
ENST00000460033.5	ENST00000490619.5
ENST00000460033.5	ENST00000476651.5
ENST00000460033.5	ENST00000492133.5
ENST00000460033.5	ENST00000490951.5
ENST00000460033.5	ENST00000488648.5
ENST00000627998.2	ENST00000403208.7
ENST00000617392.1	ENST00000543801.5
ENST00000617392.1	ENST00000541593.5
ENST00000617392.1	ENST00000531453.6
ENST00000708835.1	ENST00000641885.1
ENST00000709610.1	ENST00000576740.1
ENST00000420035.3	ENST00000415802.3
ENST00000420035.3	ENST00000449044.3
ENST00000420035.3	ENST00000383549.3
ENST00000420035.3	ENST00000418003.3
ENST00000420035.3	ENST00000383643.3
ENST00000420035.3	ENST00000451019.3
ENST00000643263.1	ENST00000524955.1
ENST00000645125.2	ENST00000326558.9
ENST00000314399.3	ENST00000571432.5
ENST00000679526.1	ENST00000679491.1
ENST00000646639.2	ENST00000308910.9
ENST00000632643.1	ENST00000468539.5
ENST00000710576.1	ENST00000527612.1
ENST00000646719.1	ENST00000559147.1
ENST00000553014.5	ENST00000548959.5
ENST00000553014.5	ENST00000550854.5
ENST00000553014.5	ENST00000551684.5
ENST00000632164.1	ENST00000572549.5
ENST00000710237.1	ENST00000475880.6
ENST00000370340.7	ENST00000370335.5
ENST00000370340.7	ENST00000360243.6
ENST00000709368.1	ENST00000565253.1
ENST00000710261.1	ENST00000553851.3
ENST00000480059.5	ENST00000467834.5
ENST00000644574.1	ENST00000560443.1
ENST00000632768.1	ENST00000576457.5
ENST00000708445.1	ENST00000584948.1
ENST00000709808.1	ENST00000439886.5
ENST00000707248.1	ENST00000443024.7
ENST00000430478.1	ENST00000414140.1
ENST00000430478.1	ENST00000419260.1
ENST00000430478.1	ENST00000428081.1
ENST00000430478.1	ENST00000383651.1
ENST00000430478.1	ENST00000418630.1
ENST00000709006.1	ENST00000532561.1
ENST00000710406.1	ENST00000595177.1
ENST00000708138.1	ENST00000630068.2
ENST00000632198.1	ENST00000528134.1
ENST00000672733.1	ENST00000545991.1
ENST00000672956.1	ENST00000416286.7
ENST00000708592.1	ENST00000495690.6
ENST00000710020.1	ENST00000454925.1
ENST00000630314.1	ENST00000512002.2
ENST00000631328.1	ENST00000486907.1
ENST00000629360.3	ENST00000261458.8
ENST00000708475.1	ENST00000303545.4
ENST00000638675.1	ENST00000508797.1
ENST00000630775.1	ENST00000628951.1
ENST00000630775.1	ENST00000484235.1
ENST00000709406.1	ENST00000237527.8
ENST00000436495.5	ENST00000443974.5
ENST00000436495.5	ENST00000436558.5
ENST00000436495.5	ENST00000400035.5
ENST00000549458.5	ENST00000552560.5
ENST00000633216.1	ENST00000563667.5
ENST00000707934.1	ENST00000423870.6
ENST00000673262.1	ENST00000672884.1
ENST00000625641.1	ENST00000620205.4
ENST00000625641.1	ENST00000523693.1
ENST00000634018.1	ENST00000568994.1
ENST00000673190.1	ENST00000534830.5
ENST00000707990.1	ENST00000337774.10
ENST00000635016.1	ENST00000601394.1
ENST00000438945.6	ENST00000444206.6
ENST00000615854.4	ENST00000510106.5
ENST00000673319.1	ENST00000575474.1
ENST00000672086.1	ENST00000369352.1
ENST00000707375.1	ENST00000486390.1
ENST00000634179.1	ENST00000616702.1
ENST00000626573.1	ENST00000554968.1
ENST00000633303.1	ENST00000418187.1
ENST00000644369.2	ENST00000399641.6
ENST00000492056.5	ENST00000461462.5
ENST00000645304.1	ENST00000560349.1
ENST00000611713.1	ENST00000378763.1
ENST00000632231.1	ENST00000620413.1
ENST00000452262.5	ENST00000439624.5
ENST00000452262.5	ENST00000422320.5
ENST00000709410.1	ENST00000373632.8
ENST00000633669.1	ENST00000616159.4
ENST00000631740.1	ENST00000558329.5
ENST00000419323.1	ENST00000445685.1
ENST00000419323.1	ENST00000414947.1
ENST00000710226.1	ENST00000356463.7
ENST00000620726.1	ENST00000614937.4
ENST00000707653.1	ENST00000696055.1
ENST00000707592.1	ENST00000477879.1
ENST00000547767.2	ENST00000546529.3
ENST00000672359.1	ENST00000560148.5
ENST00000711183.1	ENST00000484611.7
ENST00000426953.5	ENST00000425437.5
ENST00000426953.5	ENST00000424956.5
ENST00000485872.5	ENST00000485782.5
ENST00000485872.5	ENST00000466654.5
ENST00000485872.5	ENST00000463500.5
ENST00000485872.5	ENST00000482784.5
ENST00000474480.5	ENST00000496715.5
ENST00000642545.1	ENST00000540172.2
ENST00000638440.1	ENST00000509797.1
ENST00000631495.1	ENST00000570445.5
ENST00000632564.1	ENST00000619761.1
ENST00000616867.1	ENST00000687205.1
ENST00000710047.1	ENST00000456306.2
ENST00000637075.1	ENST00000407325.6
ENST00000645332.1	ENST00000559123.5
ENST00000619144.4	ENST00000442189.6
ENST00000710586.1	ENST00000558753.5
ENST00000707858.1	ENST00000339024.8
ENST00000575352.5	ENST00000489378.5
ENST00000708973.1	ENST00000672900.1
ENST00000429266.5	ENST00000453746.5
ENST00000429266.5	ENST00000375893.6
ENST00000672661.1	ENST00000673448.1
ENST00000626675.2	ENST00000476542.5
ENST00000487226.1	ENST00000488817.1
ENST00000390333.1	ENST00000390337.1
ENST00000640189.1	ENST00000521299.5
ENST00000634038.1	ENST00000522435.5
ENST00000486919.1	ENST00000464853.1
